author,text,likes,published_at,sentiment
@caeciliahendharta931,"Sorry just want to confirm if i got this right so that kakao talk come from newjeans side not ador side 
Wow Hanni need to check is their team actually try to help or bury her",7,2025-03-10T06:12:07Z,-1
@KheldarIsSilk,Atty Kho you are awesome Thanks for what you do I was beginning to hate how Hybe felt they were being passive in handling this while they take more damage but now it makes sense They were strategic right from the start Please continue covering this issue,12,2025-03-10T06:04:13Z,1
@WilliamsAK07,After ALL the lies theyve all told NJ MHJ parents  supporters who would honestly want to invest in them  Any disagreement  theyll cause trouble for that agency too also probably always watching their back so they dont get backstabbed the way HybeAdor is now  Ppl MIGHT work with them BUT the thought of their lies betrayal scheming will ALWAYS be looming over their head,7,2025-03-10T05:51:51Z,1
@saidonna27xx,Their own lawyes helped them to sink by providing evidence for Ador LiarJeans fighting,5,2025-03-10T05:35:10Z,1
@hueningbahiyyih627,Min Heejin is hoping that this case will take 3 years and in that time min Heejin will make as much money as she can from the newjeans fandom,11,2025-03-10T04:56:26Z,1
@user-mc3qv4pw1p,even if ignore her happened how is that a valid reason for termination,45,2025-03-10T04:37:13Z,0
@micdrop8475,I have only one question what if tampering proved What happen to mhj What consequence nj face,4,2025-03-10T04:31:04Z,0
@Heznau,The girls dont want to work without Min Heejin But thats not the companys problem Does the contract say that the girls should only work with the director Min Heejin No The company hired another employee instead of Min Heejin And the girls are obliged to cooperate and abide by the contract,27,2025-03-10T04:03:46Z,0
@Baddiesc7gn,"The ideal outcome in my opinion is  injunction to permanently bench New Jeans for five years  No performing no brand deals NOTHING  Hold them fully responsible for the breach of contract penalty so if any label wants them after that they can pay the penalty  Also any activity in the futurethey must pay their share of the penalty before they can work again in anything to do with entertainment  music modeling acting any endeavor they must pay their debt to ADOR first  
They need to see if their cult leader leader MHJ Will use any of her savings to support them after they stop receiving the nice checks they are enjoying  
Also their parentsguardians  need to learn about passive aggressiveness  The long term outcome is never good     If they were responsible they would send those girls to therapy for de programming 
MHJ is a mind bender  She has those girls believing they cant breathe without her  She cant sing  She cant write music  She is not a producer  She was good with brands  
She ingratiated herself with Bang SiHyuk  She got talented girls from Source Music  Bang practically gave her a label  Loaned her millions of his personal money to invest in ADOR  New Jeans name originated from Mexican girl group Jeans  The look not so original Concept 90s girl group  Before we ever saw a video MHJ was claiming their success like she was the group leader  
She started to see  because of NJ success and she wanted it all   Life lesson the girls are not too young to learn  Actions have consequences  They need to be humbled",1,2025-03-10T03:09:17Z,1
@lolitaborja8050,seeing probably has no say on what they will present on the court,2,2025-03-10T03:08:26Z,0
@Xyzeeeeeee,I knew itknew from the starting when they brought BTSs name in this shit,5,2025-03-10T02:54:03Z,-1
@ZariaTudor1,NJZ are so brainwashed Do they not know theyll take the brunt of the fines and consequences when they lose,6,2025-03-10T02:48:38Z,0
@VerucaS9lt,"WOW Adors lawyers not only deftly discredited NJs case while preserving the possibility of mending the relationship but laid the groundwork for future inevitable lawsuits That was BADASS 

Thank you for explaining to us this case from a purely legal standpoint This was very enlightening and I really enjoyed it ",28,2025-03-10T02:26:20Z,1
@kidslearning6659,Thanks,8,2025-03-10T02:26:05Z,1
@kidslearning6659,You make it easy to understand the law and outcome in simple explaination,4,2025-03-10T02:24:07Z,1
@lolitaborja8050,Now I understand why ADOR son the defensive way rather than offensive or attacking way which NJ did,4,2025-03-10T02:12:40Z,0
@joylean1225,Love your clear analysis thx,2,2025-03-10T01:44:12Z,1
@0xyGen_2.p0,Just to mention another significant detail They acusse Hybe of everything but they terminated contracts with Ador Hybe and Ador are two different companies why did NJ take Ador as their hostage if they have problems only with Hybe And above all NJ have problems with company regarding its business and managerial decisions that NJ have no place to stick their nose into to begin with Neither legal nor moral place I am surprised that same court who ruled out in 2024 that Hybe and Ador are two different companies which is legally correct didnt stop these girls from attacking to contract termination dispute unrelated  Hybe in court I believe that this case was about contractual dispute between NJ and Ador not between NJ and Hybe,14,2025-03-10T01:22:54Z,1
@monikakrell9251,is the court stupid in korea the are proof  that min hee jin wanted ador and new jeans and wanted to destroy Bts and Mr Bang cant the see that this evil women is behind all off this,1,2025-03-10T01:16:48Z,-1
@sleeplessseoul-o,Is it true that the leaked Newar document had been edited probably by whoever leaked it shown likely to be MHJ as she had accessed the document several times soon before it was leaked in 2024 compared to the original version which was issued in 2023,6,2025-03-10T01:09:18Z,1
@monikakrell9251,If new jeans wins this that only proves that the court in corrupt never know who min hee jin know in the court so sick off this girls the are so evil Se theme self as victim and bully other groups and lie hope know one will work whid this group who can trust theme anymoore,11,2025-03-10T01:04:06Z,-1
@ky_sharkB,Heh I doubt she will apologized especially after that instagram story Shes very adamant that she was right We surely will never see her apologized,17,2025-03-10T01:02:49Z,1
@sleeplessseoul-o,It boggles the mind why would NJs side think submitting the KakaoTalk messages as evidence would be favourable to them I read somewhere that apparently NJs side submitted a partial version of those messages in a way to favour them but Adors side seemed to have the full version that showed ignore them phrasing had in fact come from MHJ Is this true Then that might make more sense that NJs side presented partial  misleading evidence Besides I never understood how a singular ignore her incident is proof of systematic bullying  mistreatment by an entire conglomerate against NJ Was it because its corroborated by the socalled Newar document which is not even a company strategy  policy document If the judge were to rule in NJs favour based on such weak arguments itd clearly show the judges bias,10,2025-03-10T00:58:58Z,1
@nicolecmke,Hanni will never apologize  She doubled down after the court hearing along with her disrespectful words telling Ador to stay out of their business What are they going to do when the court tells them they are still legally bound to Ador  What are they going to do when MHJ is found guilty and sentenced to jail and heavy fines,148,2025-03-10T00:51:07Z,-1
@kidslearning6659,They thought it was a good thing to present themselves doing their media and role play Backfired on them especially Hanni caught lying hitting her right in her face,4,2025-03-10T00:49:12Z,1
@esmeraldasoliano7073,Njeans should just pay the fine n get out since they cant work with Ador or Hybe anymore It is basically this plbm of paying the penalty that is creating all the plbm They just want to leave without paying,17,2025-03-10T00:25:30Z,1
@Waender,the saddest thing the woman they try to defend are nowhere to be found they became a meat shield for her,145,2025-03-10T00:01:33Z,0
@0xyGen_2.p0,"Thank you attorney Ko Great analysis as always About NJs members claiming that they want to be with MHJ no matter of the  outcome of the judgement which was probably meant strategical  to influence the court to decide that future cooperation with Ador is no longer possible and rule in favor of their contract termination  that statement is in my opinion at the same time also potentially very contraproductive Firstly because with this statement they indirectly admited that they are active part of tampering and secondly because with this statement they directly admit that nothing they reasoned as cause of their contract terminations with Ador actually stands is true and that in core of their unilateral contracts terminations werent Adors faults real or made up but something else   the desire to be with Min Hee jin  With that also NJs direct support to her tampering 

What is worse NJ members were publicly claiming from November last year that MHJ never had anything to do with their contract termination but now they openly indirectly admit that they lied and that MHJ was probably the ONLY reason why they terminated their contracts And that they were publicly attacking Ador as we could see from presented evidence in court with direct lies or distorted truths and with false testimony in National Assembly to justify contracts termination 

This seems to me as they indirectly comfirmed that Ador was actualy the victim of their and MHJs dirty game behind which was tampering Your thoughts on this

 And I checked two members seem to had tablets in court Im still in shock about how is this possible and why judges didnt punish them for it Of course I have no idea about what is a practice regarding this in Korea however in my country this would be considered as serious breach of court order and as direct disrespect of court and huge minus for these girls arguments in court 

 They also showed disrespect toward Ador CEO in the court room something we already saw in the National Assembly And they again pulled out a tear jerker while in court but completely different picture outside of court This brings memories on how was Hanni laughing in live stream how her tear jerker in National Assembly worked well Impression was that she almost admitted that her tear jerker was staged Will this affect judges anyhow 

And do you think that court can NJ members still consider as reliable witnesses since impression is that they lied in past and that they easy pull out lies and manipulations at any occassion to achieve their goals Even in court crokodile tears How will judges in your opinion approach to these evident manipulations  Court testimonies are given under oath of saying truth Thank you for your answers",16,2025-03-10T00:00:17Z,-1
@GdeniseP,They should pay to break the contract,8,2025-03-09T23:53:53Z,0
@GrumpyKay,Rememeber everyone Hanni went to the NA and lied Her case getting shoved in last min meant that yhe case about the dead workers was pushed out ans not given a priority She then took aelfies with the ceo of that same company cause they both thought it was amusing PEOPLE DIED And their friends and family were out on the sidewalk crying in pain over their deaths and Hanni walks rifht past them Got up on that stand and LIED her ass off KNOWING she was lying as well That is how selfishing and gross Hanni has become thanks to MHJ,383,2025-03-09T23:46:23Z,1
@jkook2297,Cannot exist without MHJWow How pathetic are they  She really did a good job brainwashing them,2,2025-03-09T23:34:47Z,-1
@jkook2297,Dressed for their own funeral ,62,2025-03-09T23:31:26Z,1
@meriani777,Is this dubbed in English,2,2025-03-09T23:31:02Z,0
@anechuu,So they have to resubmit their reasons Second opportunity to come up with stuff Bets on which lies well see next week LOL,28,2025-03-09T23:29:39Z,1
@MariB-j,What legal argument do they have if I can ask ,2,2025-03-09T23:17:23Z,1
@ezelmanicia7243,I dont understand why they would stay with MHJ they should open their eyes to what she has done before sadly I cant support a group that wont open their eyes to see the truth,17,2025-03-09T23:09:45Z,-1
@carmenalvarez626,The sad part is that no matter what happens it shows that these young ladies can never be trusted no matter where they go or whatever company they decided to go to,355,2025-03-09T22:58:04Z,-1
@lindaMinister,Sejong  Mhj holds no concrete evidence so they were forced to submit anything,31,2025-03-09T22:56:16Z,-1
@Cat-Tiger-Taegi-Cult,Could the families excluded from the national assembly due to Hannis testimony sue Hanni for wasting the assemblys time and using it for lawfare,61,2025-03-09T22:52:34Z,-1
@Mickie1198,I fear mhjs head is going to roll New jeans is going to be waiting for mhj for a long time New jeans have solidified the tampering accusations against mhj ,37,2025-03-09T22:42:41Z,1
@BangTanPrettiNikki,Thank you so much for translating to English Im a new subscriber,17,2025-03-09T22:42:35Z,1
@lindaMinister,Maybe the judge can suggest they see a psychiatrist for a case of grooming  They might have been manipulated by that lady,48,2025-03-09T22:41:22Z,0
@tipennya,The thing that I see is that it seems as though almost everything that happened Friday with these girls court case literally has proved all the original tampering allegations against mhj Not only is there no way these girls can win theres no way she can win against the charges against herself and the mess of these girls case will be what proves it Because she was able to orchestrate this ignore her issue going all the way to a national Assembly this is going to have major repercussions on mhj from a public point of view as well as a legal point of view simply because now the national Assembly has to say face they have been blatantly played For all of the people who thought it was already foolish that they would even take the time to hear an argument in the first place now theyre really going to face the backlash of having entertained this foolishness and it turned out to be a whole lie So many people are about to take some major hits all behind her arrogance and ego,0,2025-03-09T22:36:20Z,1
@mshssable,To the parents of New Jeans be the proper adults and save your daughters Get them out for MHJs ass,133,2025-03-09T22:35:38Z,1
@mshssable,Its hard to make a strong case in the big real world with childish tantrum and petty lies I hope New Jeans grow up real fast to see this stupidity and learn that adults except for the selected no moral assembly men cannot be easily manipulated or fooled,27,2025-03-09T22:33:11Z,1
@Kirk-y7j, did you forget the cvtv evidence oh i guess you did ,1,2025-03-09T22:21:20Z,0
@Kirk-y7j,Im really sorry but you are clearly being paid by HYBE ,0,2025-03-09T22:19:43Z,-1
@anamarkovic8994,Thank you so much,2,2025-03-09T22:17:14Z,1
@noriadongeng1811,I think everyone would agree tht NJ going back to Ador is a bad for both So now NJ should just pay the penalty and wht is owed to the company Besides their reputation is already beyond repair Brats and ungrateful are basically wht most people think of them now,61,2025-03-09T22:14:04Z,-1
@harrietteanzai2577,Can you imagine life under Mhj after all this is said and done Whatever the outcome it will never be as good as under Ador Hybe Oh well live and learn,25,2025-03-09T22:09:06Z,1
@meemac4709,If the Court of South Korea would protect the sanctity and autonomy of contract the Court should decide in favor of Ador If the Court favors what is legally right it should not be affected by the dictates of the popularity of the artist as against to the company that gave them the opportunity to grow as artists not to mention that New Jeans are you kids but their parents have already made liars if not swindlers out of these girls by deliberately misleading people posing dramatic  statements to destroy the company Ador which helped them become famous Their CEO would not be able to create New Jeans without the support of Ador and Hybe Of course these girls are young but their parents who signed the contracts in their behalf should take the consequences by allowing if not teaching their daughters to be negligent of their own commitments,37,2025-03-09T21:40:16Z,1
@msr33n,nj need psychologist not a lawyer for real mhj brainwashed them thoroughly,240,2025-03-09T21:33:27Z,1
@sandraotto6352,What would happen if MJH is found guilty in the case against her that started all this as NJ is now pretty much saying their termination declaration was because they wanted to stay with her,47,2025-03-09T21:31:57Z,-1
@hansikaeveryday,Wow I want ador to win,22,2025-03-09T21:27:12Z,1
@teresapang8001,The fact they have to stay with MHJ to exist as a group unhealthy They have no confidence of themselves if they need her So young So immature So sad,161,2025-03-09T21:11:11Z,-1
@Gangstasix,Great video Your expert analysis from a lawyers perspective really helps me understand how legal arguments work Thank you,26,2025-03-09T21:08:29Z,1
@875Maknaeline,No matter how NJZ n MHJ legal counsel restructure their arguments if its foundation were based on lies ill intention towards AdorHybe in the premise of stealing the systemtheir debate will collapse eventually Their stan is base on a hallow ground I believe the saying The 1 who cackles is the 1 laying the eggs Too much talk n drama on NJZMHJ side Meaning they probably are the 1s hiding something I only hope that NJZ will just stop n apologize Leave if they want to But face financial accountability above all Start anew if they still have the face to conquer the world with MHJ Just stop the drama,0,2025-03-09T21:05:46Z,-1
@polokucoch8112,They are wearing black for their own funeral  It doesnt seem to be going well for the girls  They should have just kept on going  There are too many girl groups popping up every month  They will be irrelevant in due time  Ive stopped listenting to them,83,2025-03-09T21:04:32Z,1
@drdart6367,Thank you for doing English version,71,2025-03-09T20:45:26Z,0
@carolinehardware9982,I like Your analysis ,8,2025-03-09T20:43:11Z,0
@JungkookTaehung,I am surprised that the members completely embraced ex CEO ADOR as 6th member  Does this in fact STRENGTHEN the case for tampering  Also could the members FALSE testimony at the National Assembly be interpretated AS PERJURY  Can she not be prosecuted not to mention WASTING tax payors money for this sham to be brought to the National Assembly when more serious labor violations have occurred in South Korea,293,2025-03-09T20:20:28Z,-1
@Samuel-hu8uk,The ignore them controversy is a serious one because it damaged the reputation of the labels and artists especially illit who are the real victim of bullying and harassment from team bunnies They are still very young and this kind of situation might severely harm their mental health and its kinda heartbreaking because its not even their fault they did nothing but work hard to improve,150,2025-03-09T20:19:53Z,-1
@1hotshon,Danielle and team are beyond annoying to be honest The way they have handled everything is so unprofessional and ditzy,215,2025-03-09T20:13:40Z,-1
@merphul,"What sejong is doing makes so little sense  theyre presenting a conspiracy theory based on assertion and emotion 

What makes a twisted sense is this might lay a foundation for an MHJ strategy in her lawsuits ADOR has no value without NJ and NJ has no value with MHJ as she is their sole cause of success and 6th member Not true as the funding resources and staff came from Hybe and Source but it has its own twisted logic 

I dont think its a good strategy for MHJ but she seems to have boxed herself in Claiming ADOR has no value without her is at least an argument that pursuing her for damages is trying to recoup something ADOR never had",36,2025-03-09T20:07:37Z,-1
@CCAST-so4ny,"NewJeans emotions clouded their judgment becoming the primary force that blinded them to the true legal implications ahead
Attorney thank you for having an English Dub",5,2025-03-09T20:01:53Z,1
@tahitihawaiiblue,Thank you for your detailed expert analysis ,25,2025-03-09T20:00:49Z,1
@CandyCane23049,Their fandom is choosing to ignore everything and will continue to be delusional,231,2025-03-09T19:57:17Z,0
@charzemc,"Yes their new approach is very calculated legally sound tho I dont think so New Jeans actions have spoken very loudly
They should pay the penalty return Adors IP  move on with MHJ
This is the worst mismanaged break up Ive ever witnessed
A contract is a relationship what kind of coward ends a relationship by holding a press conference  not telling the other party first New Jeans has been extremely disrespectful ill mannered  unprofessional through this exhausting saga the more they say the more people look at them their parents  their puppeteer in disgust
An investor would have to be very unwise to invest in this group of malicious mean girls",222,2025-03-09T19:55:46Z,1
@graveyardprincess,A lot of people became doubtful that Ador would win when the injunction expanded to include music activities because NewJeans could argue that since the trust is broken  they refuse to work with Ador they will have no income and therefore it is harming their life as artists But it seems like their lawyers are focused on helping Min hee jins case not NewJeans Im surprised they didnt bring that argument up in court Maybe next hearing,51,2025-03-09T19:53:33Z,-1
@kanohane,Not being greeted was never that seriousIm still confused how tokkis made this some huge scandal Also it was obvious NewJeans were liars early on because their complaints were always vague or petty af,552,2025-03-09T19:51:28Z,-1
@EvaC3875,Pay out your contrat  365M  then you can go your way,183,2025-03-09T19:37:26Z,0
@millyr.7258,thank you for your analysis,15,2025-03-09T19:28:13Z,0
@CCAST-so4ny,"𝑨𝒕𝒕𝒐𝒓𝒏𝒆𝒚 𝒕𝒉𝒆 𝑬𝒏𝒈𝒍𝒊𝒔𝒉 𝑨𝒖𝒅𝒊𝒐 𝒊𝒔 𝑨𝒘𝒆𝒔𝒐𝒎𝒆 𝑻𝒉𝒂𝒏𝒌 𝒀𝒐𝒖 𝑨𝒍𝒔𝒐 𝑰 𝒔𝒆𝒆𝒌 𝒚𝒐𝒖𝒓 𝒍𝒆𝒈𝒂𝒍 𝒊𝒏𝒔𝒊𝒈𝒉𝒕 𝒐𝒏 𝒕𝒉𝒆 𝒇𝒇 𝒎𝒂𝒕𝒕𝒆𝒓𝒔
1 Given that Hanni has been found to have lied and deliberately manipulated the public narrative does this constitute grounds for deportation under relevant immigration laws
2 Considering the public shaming inflicted by NewJeans NJZ Hanni can a former BELIFT employee pursue legal action for emotional distress and trauma caused by Hanni actions 
3 Can the former BELIft employee use the evidence presented in the court as herhis evidence of Hannis lie",148,2025-03-09T19:24:52Z,1
@MHM6081,"Thanks for this
I agree with you that Hanni should be apologizing in lieu of the evidence but it seems she has learned too well from MHJ to not apologize for anything",251,2025-03-09T19:15:29Z,1
@Zoe2014tan,Sejong submitted the kakaotalk chats wow yeah they seem to be trying to sink New jeans not too much but enough that the keep seeing Ador as the bad people I wonder if these girls looked up the word tampering  Thank you for the hard work,66,2025-03-09T18:42:56Z,-1
@RazgrizDavion81,Great analysis video looking forward for your future analysis regarding New Jeans  case,80,2025-03-09T18:41:56Z,1
@nneichan9353,"I have felt for a while now that NJs will be allowed to terminate their contract mostly through their own refusal to continue a professional relationship with ADOR and the claim it will damage them emotionally 

I do think they will pay penalties but that the costs will not be as high as it should be for the termination and impact on the company which honestly isnt at fault 


If one is honest it is clear this is about MHJ and their reliance on her There is a recognizable desperation to return to her and work with her The relationship brings to mind a Svengali type dependence


I am seriously disappointed with the evolution and what looks like embellishment of the facts in the case especially the ignore her incident",40,2025-03-09T18:32:55Z,1
